"Name","Subject","Scheduled Date","Open Rate","Click To Open Ratio","Total Click Through Rate","Total Delivered","Total Opens","Total Clicks","Unique Clicks","Unique Click Through Rate","Unique Opens","Opt Out Rate","Unique Opt Outs","Spam Complaint Rate","Campaign Name"
"Send Email (1)","El secreto para acelerar sus operaciones financieras.","06-24-2024 10:01 AM","24.82","11.76","5.84","137","45","8","4","2.92","34","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (8)","Modernice sus operaciones y mejore la experiencia de los pacientes.","06-24-2024 10:01 AM","19.79","21.05","9.38","96","22","9","4","4.17","19","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (6)","Supere el desafío de la hiperconectividad en el aula.","06-24-2024 10:01 AM","25.81","18.75","4.84","62","22","3","3","4.84","16","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (4)","Llegue a más ciudadanos con nuestras soluciones de TI.","06-24-2024 10:01 AM","25.00","33.33","8.33","12","4","1","1","8.33","3","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"LATAM_Web_ContactCenter_Ent_May2024_thankyou","Gracias por asistir a nuestro webinar","06-20-2024 08:29 AM","51.72","30.00","17.24","58","89","10","9","15.52","30","0.00","0","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Event_DataCenter-Security Summit_Jun2024_thankyou2","iReviva lo mejor del DCC Summit 2024!","06-20-2024 08:00 AM","53.33","83.33","60.00","45","39","27","20","44.44","24","0.00","0","0.00","LATAM_Event_DataCenter-Security Summit_Jun2024"
"LATAM_Web_ContactCenter_Ent_May2024_diaprevio","¡Nos vemos mañana en nuestro webinar!","06-18-2024 08:00 AM","57.86","30.43","21.38","159","168","34","28","17.61","92","0.00","0","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"Send Email (4)","Una invitación para acelerar el crecimiento de su negocio.","06-14-2024 12:46 PM","60.00","0.00","0.00","5","4","0","0","0.00","3","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (6)","La base de la transformación digital en el sector gobierno.","06-14-2024 12:44 PM","25.00","0.00","0.00","4","1","0","0","0.00","1","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email (5)","Llegue a más ciudadanos con nuestras soluciones de TI.","06-14-2024 12:42 PM","50.00","0.00","0.00","4","2","0","0","0.00","2","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"Send Email","Soluciones tecnológicas, con el soporte que necesita.","06-14-2024 12:40 PM","60.00","0.00","0.00","5","3","0","0","0.00","3","0.00","0","0.00","LATAM_COL_Prod_Acquisition_Ent_Jun2024"
"LATAM_Event_DataCenter-Security Summit_Jun2024_thankyou","Datacenter and Cybersecurity Summit 2024: Gracias por asistir a nuestro evento","06-13-2024 10:27 AM","54.55","66.67","45.45","44","52","20","16","36.36","24","0.00","0","0.00","LATAM_Event_DataCenter-Security Summit_Jun2024"
"LATAM_Web_ContactCenter_Ent_May2024_R4","Aprenda sobre el ROI en Contact Centers","06-12-2024 08:00 AM","31.19","38.64","16.40","4896","2135","803","590","12.05","1527","0.08","4","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Web_ContactCenter_Ent_May2024_R3","Webinar: Mejore la eficiencia de su contact center","06-06-2024 08:00 AM","5.85","34.36","2.37","2788","199","66","56","2.01","163","0.07","2","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_Jennifer","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:07 PM","47.37","0.00","0.00","19","11","0","0","0.00","9","0.00","0","0.00","LATAM_DR_Prod_Seguridad_Mid_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_EvelynM","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:06 PM","63.64","0.00","0.00","11","7","0","0","0.00","7","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_ManuelM","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:06 PM","36.36","0.00","0.00","11","4","0","0","0.00","4","0.00","0","0.00","LATAM_DR_Prod_Seguridad_Mid_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_Orban","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:06 PM","53.33","4.17","2.22","45","44","1","1","2.22","24","0.00","0","0.00","LATAM_DR_Prod_Seguridad_Mid_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_Yissel","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:05 PM","69.23","0.00","0.00","13","20","0","0","0.00","9","0.00","0","0.00","LATAM_DR_Prod_Seguridad_Mid_May2024"
"LATAM_DR_Prod_Seguridad_Mid_May2024_Joel","Proteja a su compañía de un ciberataque este 2024","06-04-2024 12:05 PM","60.71","0.00","0.00","28","25","0","0","0.00","17","0.00","0","0.00","LATAM_DR_Prod_Seguridad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_JoelC","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:04 PM","47.06","18.75","11.76","34","33","4","3","8.82","16","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_OrbanM","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:04 PM","44.44","30.00","20.00","45","31","9","6","13.33","20","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_JenniferG","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:04 PM","53.85","7.14","3.85","26","17","1","1","3.85","14","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_EvelynM","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:04 PM","43.90","27.78","14.63","41","24","6","5","12.20","18","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_ManuelM","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:03 PM","80.00","12.50","10.00","10","12","1","1","10.00","8","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_DR_Prod_Conectividad_Mid_May2024_YisselJ","Redes Confiables: El motor de la productividad en la era digital","06-04-2024 12:03 PM","51.85","21.43","14.81","27","35","4","3","11.11","14","0.00","0","0.00","LATAM_DR_Prod_Conectividad_Mid_May2024"
"LATAM_Web_ContactCenter_Ent_May2024_R2","Webinar: Aprenda a calcular el ROI en su contact center: Webinar gratuito","05-31-2024 08:00 AM","31.74","36.67","16.22","4975","2196","807","579","11.64","1579","0.00","0","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Event_DataCenter-Security Summit_Jun2024","DATACENTER AND CYBERSECURITY SUMMIT 2024","05-30-2024 10:38 AM","72.73","71.88","93.18","44","100","41","23","52.27","32","0.00","0","0.00","LATAM_Event_DataCenter-Security Summit_Jun2024"
"LATAM_Web_ContactCenter_Ent_May2024_R1","Optimice el ROI de su Contact Center","05-27-2024 08:00 AM","14.03","29.41","4.70","3513","664","165","145","4.13","493","0.03","1","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Web_ContactCenter_Ent_May2024","{{Recipient.FirstName}} ,  Gracias por Registrarse a nuestro evento","05-21-2024 08:12 AM","67.86","23.68","18.45","168","177","31","27","16.07","114","0.00","0","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Web_ContactCenter_Ent_May2024","Le invitamos al webinar ""Cómo calcular el ROI en una plataforma de contact center""","05-21-2024 08:00 AM","31.59","36.91","16.60","5078","2482","843","592","11.66","1604","0.12","6","0.00","LATAM_Web_ContactCenter_Ent_May2024"
"LATAM_Event_VIPLinks_apr2024_SPA_hub","LINKS: ¡Acceda al contenido adicional!","05-17-2024 08:00 AM","66.67","70.83","63.89","36","38","23","17","47.22","24","0.00","0","0.00","LATAM_Event_VIPLinks_apr2024"
"LATAM_CR_OP_EM_INVITACIÓNVIP2","Únete a nuestra NOCHE VIP: Protección de datos con HPE GreenLake y Zerto","05-14-2024 11:00 AM","38.46","0.00","0.00","13","21","0","0","0.00","5","0.00","0","0.00","LATAM_CR_OP_LI_EventoHPEmarzo2024"
"LATAM_CR_OP_ET_INVITACIÓNVIP1","Únete a nuestra NOCHE VIP: Protección de datos con HPE GreenLake y Zerto","05-10-2024 01:00 PM","63.64","0.00","0.00","11","14","0","0","0.00","7","0.00","0","0.00","LATAM_CR_OP_LI_EventoHPEmarzo2024"
"LATAM_Info_Newsletter_Ent_Apr2024_EN","April 2024: Liberty Networks Newsletter","04-10-2024 08:06 AM","21.04","36.92","15.86","309","103","49","24","7.77","65","0.00","0","0.00","LATAM_Info_Newsletter_Ent_Apr2024"
"LATAM_Info_Newsletter_Ent_Apr2024_SPA","Abril 2024: Boletín Liberty Networks","04-10-2024 08:06 AM","33.73","34.78","17.90","5856","3021","1048","687","11.73","1975","0.10","6","0.00","LATAM_Info_Newsletter_Ent_Apr2024"
"LATAM_Col_Info_PasarelaPagos_Ent_Mar2024_A1","¡Ya puede visitar nuestra nueva pasarela de pagos!","04-01-2024 12:01 PM","36.27","13.94","6.67","2967","2032","198","150","5.06","1076","0.27","8","0.00","LATAM_Col_Info_PasarelaPagos_Ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_thankyou","Education Summit: ¡Gracias por participar!","03-28-2024 08:00 AM","68.18","46.67","54.55","22","21","12","7","31.82","15","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LATAM_Event_VIPLinks_apr2024_GUA_R3","¡Descubre a nuestros increíbles ponentes para nuestro evento!","03-22-2024 11:52 AM","100.00","16.67","16.67","6","17","1","1","16.67","6","0.00","0","0.00","LATAM_Event_VIPLinks_apr2024"
"LATAM_Event_VIPLinks_apr2024_ES_R3","¡Descubre a nuestros increíbles ponentes para nuestro evento!","03-22-2024 11:52 AM","75.00","8.33","6.25","16","21","1","1","6.25","12","0.00","0","0.00","LATAM_Event_VIPLinks_apr2024"
"LATAM_Event_VIPLinks_apr2024_HON_R3","¡Descubre a nuestros increíbles ponentes para nuestro evento!","03-22-2024 11:52 AM","37.50","0.00","0.00","8","6","0","0","0.00","3","0.00","0","0.00","LATAM_Event_VIPLinks_apr2024"
"LATAM_Event_VIPLinks_apr2024_COL_R3","¡Descubre a nuestros increíbles ponentes para nuestro evento!","03-22-2024 11:51 AM","83.33","40.00","66.67","6","14","4","2","33.33","5","0.00","0","0.00","LATAM_Event_VIPLinks_apr2024"
"LATAM_ES_Event_PowerAsAService_Ent_Mar2024_thankyou","Gracias por asistir a nuestro evento","03-21-2024 08:00 AM","69.23","0.00","0.00","13","23","0","0","0.00","9","0.00","0","0.00","LATAM_ES_Event_PowerAsAService_Ent_Mar2024"
"LATAM_ES_Event_PowerAsAService_Ent_Mar2024_diaprevio","Mañana es nuestro evento, ¡acompáñenos!","03-19-2024 08:00 AM","69.57","18.75","17.39","23","28","4","3","13.04","16","0.00","0","0.00","LATAM_ES_Event_PowerAsAService_Ent_Mar2024"
"LATAM_ES_Event_PowerAsAService_Ent_Mar2024","{{Recipient.FirstName}} te invitamos a una experiencia única de ciberseguridad","03-15-2024 10:18 AM","39.68","64.00","36.51","63","160","23","16","25.40","25","0.00","0","0.00","LATAM_ES_Event_PowerAsAService_Ent_Mar2024"
"LATAM_ES_Event_PowerAsAService_Ent_Mar2024","{{Recipient.FirstName}},  Gracias por Registrarse a nuestro evento","03-14-2024 11:55 AM","47.06","25.00","11.76","17","10","2","2","11.76","8","0.00","0","0.00","LATAM_ES_Event_PowerAsAService_Ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_DR_A3","Education Summit: ¡Nos vemos la próxima semana!","03-06-2024 08:00 AM","50.00","50.00","25.00","4","7","1","1","25.00","2","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_GUA_A3","Education Summit: ¡Nos vemos la próxima semana!","03-06-2024 08:00 AM","100.00","40.00","60.00","5","7","3","2","40.00","5","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_ES_A3","Education Summit: ¡Nos vemos la próxima semana!","03-06-2024 08:00 AM","84.62","9.09","30.77","13","26","4","1","7.69","11","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_COL_A3","Education Summit: ¡Nos vemos la próxima semana!","03-06-2024 08:00 AM","66.67","62.50","133.33","12","17","16","5","41.67","8","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_HON_A3","Education Summit: ¡Nos vemos la próxima semana!","03-06-2024 08:00 AM","87.50","14.29","37.50","8","33","3","1","12.50","7","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_ES_A2","Education Summit: Participación Confirmada","02-20-2024 08:00 AM","85.71","41.67","71.43","14","110","10","5","35.71","12","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_GUA_A2","Education Summit: Participación Confirmada","02-20-2024 08:00 AM","100.00","50.00","66.67","6","10","4","3","50.00","6","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_HON_A2","Education Summit: Participación Confirmada","02-20-2024 08:00 AM","55.56","20.00","66.67","9","29","6","1","11.11","5","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_COL_A2","Education Summit: Participación Confirmada","02-20-2024 08:00 AM","69.23","77.78","92.31","13","19","12","7","53.85","9","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_DR_A2","Education Summit: Participación Confirmada","02-20-2024 08:00 AM","80.00","50.00","40.00","5","6","2","2","40.00","4","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_DR_R1","Education Summit: ¡Aún puede confirmar su asistencia!","02-16-2024 07:00 AM","80.00","0.00","0.00","5","62","0","0","0.00","4","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_DR_A1","Education Summit está aquí.","02-12-2024 10:45 AM","100.00","20.00","20.00","5","40","1","1","20.00","5","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_GUA_A1","Education Summit está aquí.","02-12-2024 10:45 AM","100.00","0.00","0.00","9","32","0","0","0.00","9","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_COL_A1","Education Summit está aquí.","02-12-2024 10:44 AM","71.43","50.00","57.14","14","154","8","5","35.71","10","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_ES_A1","Education Summit está aquí.","02-12-2024 10:44 AM","92.86","7.69","7.14","14","100","1","1","7.14","13","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LAT_REG_EDUCATIONSUMMIT_2024_HON_A1","Education Summit está aquí.","02-12-2024 10:44 AM","87.50","14.29","12.50","8","69","1","1","12.50","7","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LATAM_Event_Educationsummit_ent_Mar2024_GUA_SAVETHEDATE","¡Se acerca el Education Summit 2024!","02-06-2024 11:36 AM","88.89","0.00","0.00","9","321","0","0","0.00","8","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LATAM_Event_Educationsummit_ent_Mar2024_HON_SAVETHEDATE","¡Se acerca el Education Summit 2024!","02-06-2024 11:36 AM","80.00","25.00","20.00","10","119","2","2","20.00","8","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LATAM_Event_Educationsummit_ent_Mar2024_COL_SAVETHEDATE","¡Se acerca el Education Summit 2024!","02-06-2024 11:35 AM","72.22","15.38","11.11","18","277","2","2","11.11","13","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LATAM_Event_Educationsummit_ent_Mar2024_DR_SAVETHEDATE","¡Se acerca el Education Summit 2024!","02-06-2024 11:35 AM","80.00","0.00","0.00","10","19","0","0","0.00","8","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
"LATAM_Event_Educationsummit_ent_Mar2024_ES_SAVETHEDATE","¡Se acerca el Education Summit 2024!","02-06-2024 11:35 AM","88.89","12.50","22.22","9","31","2","1","11.11","8","0.00","0","0.00","LATAM_Event_Educationsummit_ent_Mar2024"
